date,type,category,amount
2024-01-05,revenue,Sales,8500
2024-01-10,expense,Rent,2200
2024-01-12,revenue,Consulting,3200
2024-01-15,expense,Payroll,6500
2024-01-20,expense,Marketing,1200
2024-01-22,revenue,Sales,5500
2024-01-25,expense,Software,450
2024-01-28,expense,Supplies,380
2024-02-05,revenue,Sales,7800
2024-02-08,expense,Rent,2200
2024-02-14,expense,Payroll,6500
2024-02-18,revenue,Consulting,2800
2024-02-22,expense,Marketing,1150
2024-02-25,expense,Software,450
2024-02-27,revenue,Sales,4200
2024-02-27,expense,Supplies,320
2024-03-04,revenue,Sales,9200
2024-03-08,expense,Rent,2200
2024-03-12,expense,Payroll,6500
2024-03-15,revenue,Consulting,4100
2024-03-20,expense,Marketing,1300
2024-03-22,revenue,Retainer,2500
2024-03-25,expense,Software,450
2024-03-28,expense,Supplies,410
2024-04-03,revenue,Sales,8100
2024-04-08,expense,Rent,2200
2024-04-12,expense,Payroll,6500
2024-04-16,revenue,Retainer,2500
2024-04-20,expense,Marketing,1100
2024-04-23,revenue,Consulting,3600
2024-04-25,expense,Software,450
2024-04-29,expense,Supplies,290
2024-05-18,revenue,Sales,7500
2024-05-20,expense,Rent,2200
2024-05-22,expense,Payroll,6500
2024-05-25,revenue,Consulting,3100
2024-05-28,expense,Marketing,1200
2024-05-29,expense,Software,450
2024-05-30,expense,Supplies,350
2024-06-04,revenue,Sales,8800
2024-06-07,expense,Rent,2200
2024-06-12,expense,Payroll,6500
2024-06-16,revenue,Retainer,2500
2024-06-19,expense,Marketing,1250
2024-06-22,revenue,Consulting,2900
2024-06-25,expense,Software,450
2024-06-28,expense,Supplies,330
2024-07-03,revenue,Sales,9100
2024-07-08,expense,Rent,2200
2024-07-12,expense,Payroll,6500
2024-07-16,revenue,Retainer,2500
2024-07-20,expense,Marketing,1100
2024-07-24,revenue,Consulting,3500
2024-07-25,expense,Software,450
2024-07-29,expense,Supplies,380
2024-08-05,revenue,Sales,8600
2024-08-08,expense,Rent,2200
2024-08-12,expense,Payroll,6500
2024-08-16,revenue,Retainer,2500
2024-08-19,expense,Marketing,1650
2024-08-22,revenue,Consulting,2800
2024-08-25,expense,Software,450
2024-08-28,expense,Supplies,410
2024-08-28,expense,,890
2024-09-04,revenue,Sales,7200
2024-09-08,expense,Rent,2200
2024-09-12,expense,Payroll,6500
2024-09-16,revenue,Retainer,2500
2024-09-20,expense,Marketing,1300
2024-09-23,revenue,Consulting,3200
2024-09-25,expense,Software,450
2024-09-27,expense,Supplies,360
2024-09-30,expense,,540
2024-10-03,revenue,Sales,8900
2024-10-04,revenue,Sales,8900
2024-10-08,expense,Rent,2200
2024-10-12,expense,Payroll,6500
2024-10-16,revenue,Retainer,2500
2024-10-20,expense,Marketing,1200
2024-10-24,revenue,Consulting,4100
2024-10-25,expense,Software,450
2024-10-29,expense,Supplies,320
2024-10-31,expense,,280
2024-11-05,revenue,Sales,7800
2024-11-08,expense,Rent,2200
2024-11-12,expense,Payroll,6500
2024-11-13,expense,Payroll,6500
2024-11-16,revenue,Consulting,3800
2024-11-20,expense,Marketing,1100
2024-11-22,revenue,Retainer,2500
2024-11-25,expense,Software,450
2024-11-28,expense,Supplies,340
2024-12-04,revenue,Sales,9500
2024-12-08,expense,Rent,2200
2024-12-12,expense,Payroll,6500
2024-12-16,revenue,Retainer,2500
2024-12-18,expense,Marketing,1200
2024-12-20,revenue,Consulting,4500
2024-12-25,expense,Software,450
2024-12-28,expense,Supplies,380
